trade_date,open,high,low,close,pre_close,volume,change,pct_change,value,ema_fast,ema_slow,diff,dea,bar
2018-01-15,18.4869,18.8585,18.2419,18.3686,18.2673,392673.63,0.1013000000000019,0.5545,863879.617,17.853948476643755,17.234733198096404,0.619215278547351,0.49899102627767933,0.2404485045393434
2018-01-16,18.8331,20.2097,18.7487,20.2097,18.3686,989301.95,1.8411000000000008,10.0231,2303326.915,18.216371787929333,17.455101109348522,0.7612706785808108,0.5514469567383057,0.41964744368501017
2018-01-17,20.5222,21.4089,20.1675,20.86,20.2097,1252809.88,0.6502999999999979,3.2178,3074305.999,18.62308382055559,17.707315841989374,0.9157679785662154,0.6243111611038876,0.5829136349246555
2018-01-18,20.6995,20.8516,20.2604,20.5729,20.86,549104.69,-0.2870999999999988,-1.3763,1334491.532,18.923055540470113,17.919581335175344,1.0034742052947685,0.7001437699420638,0.6066608707054093
2018-01-19,20.4462,21.1218,20.1675,20.235,20.5729,596635.63,-0.3379000000000012,-1.6425,1457796.356,19.12489314962856,18.09109382886606,1.0337993207624976,0.7668748801061507,0.5338488813126938
2018-01-22,20.2435,20.9867,20.2266,20.6066,20.235,470686.78,0.3716000000000008,1.8364,1145844.566,19.352848049685704,18.277427619320427,1.075420430365277,0.828583990157976,0.493672880414602
2018-01-23,20.8093,22.2113,20.6489,21.6876,20.6066,756813.46,1.0809999999999995,5.2459,1915866.21,19.712040657426368,18.530032980852248,1.1820076765741199,0.8992687274412049,0.56547789826583
2018-01-24,21.4512,21.8734,20.9445,21.1049,21.6876,536182.47,-0.5826999999999991,-2.6868,1353484.668,19.926326710130006,18.72076387115949,1.2055628389705149,0.9605275497470669,0.49007057844689594
2018-01-25,21.0711,22.0508,20.404,21.3498,21.1049,596466.37,0.2448999999999976,1.1604,1493416.227,20.145322600879236,18.91550728811064,1.2298153127685971,1.014385102351373,0.4308604208344482
2018-01-26,21.1556,22.642,21.1218,22.0001,21.3498,707176.04,0.6503000000000014,3.0459,1848012.952,20.430672969974736,19.14399563713948,1.2866773328352572,1.06884354844815,0.4356675687742144
2018-01-29,22.0001,22.5913,21.5187,21.9579,22.0001,534973.02,-0.0422000000000011,-0.1918,1398643.441,20.66563097459401,19.352432997351368,1.3131979772426412,1.1177144342070484,0.3909670860711856
2018-01-30,21.8059,22.2788,20.9867,21.1978,21.9579,530128.24,-0.7600999999999978,-3.4616,1350041.581,20.747503132348776,19.489126849399412,1.2583762829493637,1.1458468039555114,0.22505895798770448
2018-01-31,21.3498,22.3802,20.9276,21.7721,21.1978,656072.39,0.5742999999999974,2.7092,1689574.831,20.905133419679732,19.658235971666123,1.246897448013609,1.1660569327671308,0.16168103049295635
2018-02-01,21.8312,22.3802,21.5779,21.8312,21.7721,531454.8,0.0591000000000008,0.2714,1382784.428,21.047605201267466,19.819196270061227,1.2284089312062392,1.1785273324549526,0.09976319750257323
2018-02-02,21.24,22.8024,20.6404,22.6926,21.8312,676682.0,0.8613999999999997,3.9457,1777267.02,21.300681324149394,20.03204099079743,1.2686403333519642,1.196549932634355,0.1441808014352186
2018-02-05,22.3379,23.1402,22.2113,23.1234,22.6926,515796.65,0.4308000000000014,1.8984,1387561.244,21.581099581972566,20.261030547034657,1.3200690349379087,1.2212537530950658,0.19763056368568588
