trade_date,open,close,high,low,volume,vol,pre_close,change,pct_chg,amount,ma5,ma10,ma20,ma30,ma48
2017-03-03,31.325,31.3688,31.4475,31.2463,251354.46,251354.46,31.3775,-0.008700000000001,-0.0277,900105.329,31.573520000000002,31.84214,31.741949999999996,31.708843333333334,31.380425
2017-03-06,31.3338,31.3513,31.4475,31.2813,286717.14,286717.14,31.3688,-0.0175000000000018,-0.0558,1027741.367,31.487779999999997,31.755519999999997,31.73714,31.698343333333334,31.401754166666667
2017-03-07,31.3513,31.465,31.4737,31.325,237211.19,237211.19,31.3513,0.1137000000000014,0.3627,851204.57,31.44052,31.68464,31.732765,31.69776,31.423993750000005
2017-03-08,31.4125,31.3425,31.43,31.2988,222856.84,222856.84,31.465,-0.1224999999999987,-0.3893,798679.796,31.38102,31.597140000000003,31.724015,31.686383333333332,31.443133333333336
2017-03-09,31.2988,31.3075,31.325,31.0625,377966.52,377966.52,31.3425,-0.0350000000000001,-0.1117,1347204.348,31.367020000000004,31.53239,31.709575,31.67851,31.462275
2017-03-10,31.2463,31.15,31.2988,31.1325,207446.76,207446.76,31.3075,-0.1575000000000024,-0.5031,739538.476,31.323259999999998,31.448389999999996,31.683325000000004,31.659260000000003,31.471025
2017-03-13,31.15,31.4737,31.535,31.115,359990.02,359990.02,31.15,0.3237000000000023,1.0392,1291416.185,31.347739999999998,31.417759999999998,31.668445,31.65255,31.48396666666667
2017-03-14,31.4913,31.4475,31.6138,31.3338,276964.2,276964.2,31.4737,-0.0261999999999993,-0.0832,995908.965,31.344240000000003,31.392380000000003,31.661444999999997,31.645550000000004,31.49581458333333
2017-03-15,31.395,31.465,31.5,31.29,268720.5,268720.5,31.4475,0.0174999999999982,0.0556,964386.172,31.368740000000003,31.37488,31.645695,31.631843333333332,31.51094375
2017-03-16,31.5875,31.5613,31.71,31.4737,391641.0,391641.0,31.465,0.0962999999999993,0.3061,1412921.473,31.4195,31.393260000000005,31.635634999999997,31.619010000000003,31.522610416666666
2017-03-17,31.605,31.2813,31.6925,31.1675,542621.54,542621.54,31.5613,-0.2799999999999976,-0.8872,1951604.325,31.44576,31.38451,31.613324999999996,31.622803333333334,31.523887499999997
2017-03-20,31.29,31.3513,31.465,31.2025,424589.39,424589.39,31.2813,0.0699999999999967,0.2238,1518417.732,31.421280000000003,31.38451,31.570015,31.619596666666666,31.52716875
2017-03-21,31.5263,31.7363,31.7538,31.3862,970084.07,970084.07,31.3513,0.3850000000000015,1.228,3497702.318,31.479039999999998,31.41164,31.54814,31.625723333333333,31.5370125
2017-03-22,31.5788,31.5,31.7013,31.3338,527906.83,527906.83,31.7363,-0.2362999999999999,-0.7446,1900860.425,31.486040000000003,31.427390000000003,31.512265000000003,31.62514,31.54722083333333
2017-03-23,31.6575,31.9988,32.3137,31.6225,1209059.43,1209059.43,31.5,0.4987999999999992,1.5835,4423299.981,31.573539999999998,31.496519999999997,31.514454999999998,31.638556666666666,31.56818541666667
2017-03-24,32.0688,31.9812,32.4712,31.675,944016.38,944016.38,31.9988,-0.017599999999998,-0.055,3453351.568,31.71352,31.57964,31.514015,31.64876333333333,31.592247916666665
2017-03-27,31.9463,32.1475,32.62,31.9375,1228601.95,1228601.95,31.9812,0.1662999999999996,0.52,4533273.391,31.87276,31.647020000000005,31.53239,31.661303333333333,31.619775
2017-03-28,32.1738,32.1388,32.3488,32.0338,523346.9,523346.9,32.1475,-0.0086999999999974,-0.0271,1923728.61,31.95326,31.71615,31.554265000000004,31.67968,31.647485416666665
2017-03-29,32.2788,32.1825,32.41,32.1038,525226.65,525226.65,32.1388,0.043699999999994,0.136,1933615.709,32.08976,31.7879,31.581390000000006,31.69309666666667,31.669725000000003
2017-03-30,32.1213,32.1562,32.1913,31.85,492881.3,492881.3,32.1825,-0.0262999999999991,-0.0817,1804688.804,32.12124,31.847389999999997,31.620325,31.70622,31.67993125
2017-03-31,32.095,32.3837,32.4975,32.0075,637996.19,637996.19,32.1562,0.2274999999999991,0.7075,2355407.321,32.20174,31.95763,31.671070000000004,31.728093333333334,31.69870625
2017-04-05,32.4625,32.4625,32.6375,32.3663,613499.85,613499.85,32.3837,0.078800000000001,0.2433,2276342.315,32.26474,32.06875,31.72663,31.736259999999998,31.714929166666664
2017-04-06,32.4712,32.34,32.4888,32.1825,523313.52,523313.52,32.4625,-0.1224999999999951,-0.3774,1932690.704,32.30498,32.12912,31.77038,31.7418,31.731518750000003
2017-04-07,32.3225,32.025,32.3837,31.99,647609.21,647609.21,32.34,-0.3150000000000048,-0.974,2376814.017,32.27347999999999,32.181619999999995,31.804505,31.73538333333333,31.737716666666667
