,ts_code,symbol,name,area,industry,market,exchange,list_date,is_hs
153,688211.SH,688211,中科微至,江苏,专用机械,科创板,SSE,20211026,N
154,688212.SH,688212,澳华内镜,上海,医疗保健,科创板,SSE,20211115,N
155,688215.SH,688215,瑞晟智能,浙江,专用机械,科创板,SSE,20200828,N
156,688216.SH,688216,气派科技,深圳,半导体,科创板,SSE,20210623,N
157,688217.SH,688217,睿昂基因,上海,医疗保健,科创板,SSE,20210517,N
158,688218.SH,688218,江苏北人,江苏,专用机械,科创板,SSE,20191211,N
159,688219.SH,688219,会通股份,安徽,塑料,科创板,SSE,20201118,N
160,688220.SH,688220,翱捷科技-U,上海,半导体,科创板,SSE,20220114,N
161,688221.SH,688221,前沿生物-U,江苏,生物制药,科创板,SSE,20201028,N
162,688222.SH,688222,成都先导,四川,化学制药,科创板,SSE,20200416,N
163,688223.SH,688223,晶科能源,江西,电气设备,科创板,SSE,20220126,N
164,688225.SH,688225,亚信安全,江苏,软件服务,科创板,SSE,20220209,N
165,688226.SH,688226,威腾电气,江苏,电气设备,科创板,SSE,20210707,N
166,688227.SH,688227,品高股份,广东,软件服务,科创板,SSE,20211230,N
167,688228.SH,688228,开普云,广东,互联网,科创板,SSE,20200327,N
168,688229.SH,688229,博睿数据,北京,软件服务,科创板,SSE,20200817,N
169,688230.SH,688230,芯导科技,上海,半导体,科创板,SSE,20211201,N
170,688232.SH,688232,新点软件,江苏,软件服务,科创板,SSE,20211117,N
171,688233.SH,688233,神工股份,辽宁,化工原料,科创板,SSE,20200221,N
172,688234.SH,688234,天岳先进-U,山东,半导体,科创板,SSE,20220112,N
173,688235.SH,688235,百济神州-U,北京,生物制药,科创板,SSE,20211215,N
174,688236.SH,688236,春立医疗,北京,医疗保健,科创板,SSE,20211230,H
175,688238.SH,688238,和元生物,上海,医疗保健,科创板,SSE,20220322,N
176,688239.SH,688239,航宇科技,贵州,航空,科创板,SSE,20210705,N
177,688246.SH,688246,嘉和美康,北京,软件服务,科创板,SSE,20211214,N
178,688248.SH,688248,南网科技,广东,电气设备,科创板,SSE,20211222,N
179,688255.SH,688255,凯尔达,浙江,机械基件,科创板,SSE,20211025,N
180,688256.SH,688256,寒武纪-U,北京,元器件,科创板,SSE,20200720,N
181,688257.SH,688257,新锐股份,江苏,小金属,科创板,SSE,20211027,N
182,688258.SH,688258,卓易信息,江苏,软件服务,科创板,SSE,20191209,N
183,688259.SH,688259,创耀科技,江苏,半导体,科创板,SSE,20220112,N
184,688260.SH,688260,昀冢科技,江苏,元器件,科创板,SSE,20210406,N
185,688261.SH,688261,东微半导,江苏,半导体,科创板,SSE,20220210,N
186,688262.SH,688262,国芯科技,江苏,半导体,科创板,SSE,20220106,N
187,688265.SH,688265,南模生物,上海,医疗保健,科创板,SSE,20211228,N
188,688266.SH,688266,泽璟制药-U,江苏,生物制药,科创板,SSE,20200123,N
189,688267.SH,688267,中触媒,辽宁,化工原料,科创板,SSE,20220216,N
190,688268.SH,688268,华特气体,广东,化工原料,科创板,SSE,20191226,N
191,688269.SH,688269,凯立新材,陕西,化工原料,科创板,SSE,20210609,N
192,688270.SH,688270,臻镭科技,浙江,半导体,科创板,SSE,20220127,N
193,688272.SH,688272,富吉瑞,北京,元器件,科创板,SSE,20211018,N
194,688276.SH,688276,百克生物,吉林,生物制药,科创板,SSE,20210625,N
195,688277.SH,688277,天智航-U,北京,医疗保健,科创板,SSE,20200707,N
196,688278.SH,688278,特宝生物,福建,生物制药,科创板,SSE,20200117,N
197,688280.SH,688280,精进电动-UW,北京,汽车配件,科创板,SSE,20211027,N
198,688281.SH,688281,华秦科技,陕西,化工原料,科创板,SSE,20220307,N
199,688282.SH,688282,理工导航,北京,通信设备,科创板,SSE,20220318,N
200,688283.SH,688283,坤恒顺维,四川,电器仪表,科创板,SSE,20220215,N
201,688285.SH,688285,高铁电气,陕西,运输设备,科创板,SSE,20211020,N
