,ts_code,symbol,name,area,industry,market,exchange,list_status,list_date,is_hs
276,300887.SZ,300887,谱尼测试,北京,综合类,创业板,SZSE,L,20200916,S
277,300888.SZ,300888,稳健医疗,深圳,医疗保健,创业板,SZSE,L,20200917,S
278,300891.SZ,300891,惠云钛业,广东,化工原料,创业板,SZSE,L,20200917,S
279,300894.SZ,300894,火星人,浙江,家用电器,创业板,SZSE,L,20201231,S
280,300896.SZ,300896,爱美客,北京,医疗保健,创业板,SZSE,L,20200928,S
281,300900.SZ,300900,广联航空,黑龙江,航空,创业板,SZSE,L,20201029,S
282,300910.SZ,300910,瑞丰新材,河南,化工原料,创业板,SZSE,L,20201127,S
283,300919.SZ,300919,中伟股份,贵州,电气设备,创业板,SZSE,L,20201223,S
284,300942.SZ,300942,易瑞生物,深圳,医疗保健,创业板,SZSE,L,20210209,S
285,300957.SZ,300957,贝泰妮,云南,日用化工,创业板,SZSE,L,20210325,S
286,300973.SZ,300973,立高食品,广东,食品,创业板,SZSE,L,20210415,S
287,300979.SZ,300979,华利集团,广东,服饰,创业板,SZSE,L,20210426,S
288,300981.SZ,300981,中红医疗,河北,医疗保健,创业板,SZSE,L,20210427,S
289,300999.SZ,300999,金龙鱼,上海,食品,创业板,SZSE,L,20201015,S
290,301039.SZ,301039,中集车辆,深圳,汽车整车,创业板,SZSE,L,20210708,S
